x,y,z
6.204065323,-0.679921865,1.010410905
6.224565506,-0.684363008,1.010387182
6.244954586,-0.688740849,1.010436893
6.265285492,-0.693226516,1.010361314
6.286046982,-0.69809258,1.010679841
6.306212425,-0.702459574,1.010794759
6.326658249,-0.707087994,1.010887742
6.347284317,-0.711777806,1.010788322
6.36783886,-0.716220438,1.010861158
6.388499737,-0.720745504,1.011088967
6.408887863,-0.725458086,1.011221528
6.429712296,-0.729595721,1.011202097
6.450377464,-0.73425132,1.011467695
6.471067429,-0.738847971,1.011533737
6.491906166,-0.743579209,1.011828661
6.512773037,-0.747974634,1.01180613
6.534043312,-0.7522645,1.01203835
6.554582596,-0.75733012,1.011815667
6.575603485,-0.761737227,1.011942863
6.596554756,-0.766504824,1.012019396
6.617713928,-0.770679235,1.012106299
6.638345718,-0.775677145,1.012196183
6.65955019,-0.780304611,1.012438536
6.680735111,-0.784597695,1.01244545
6.701681137,-0.78935504,1.012624979
6.72273159,-0.794184327,1.012642264
6.743942738,-0.798644185,1.012693405
6.765487671,-0.802933514,1.012693048
6.786382675,-0.807820976,1.012795687
6.807418823,-0.812788486,1.013003826
